country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sex
Belgium,5.16,5.21,5.0,5.22,4.35,4.14,4.96,4.75,4.36,4.36,Male
Bulgaria,24.09,22.85,22.2,22.61,21.95,24.99,22.4,23.56,28.12,28.06,Male
Czechia,30.36,33.52,32.27,30.88,27.71,27.79,29.38,27.19,26.7,26.72,Male
Denmark,7.98,7.65,8.7,7.18,7.99,7.38,6.34,6.98,7.88,7.24,Male
Germany,9.93,9.56,9.46,10.09,9.47,9.57,9.49,9.22,9.2,8.98,Male
Estonia,58.64,48.22,51.71,37.97,43.95,38.57,37.43,28.27,26.8,24.11,Male
Ireland,23.06,21.11,22.36,19.49,19.19,16.41,18.74,17.27,17.99,17.26,Male
Greece,16.1,17.17,16.7,21.26,20.12,17.24,16.17,18.88,18.81,18.81,Male
Spain,7.67,8.3,7.66,7.67,7.67,7.45,7.84,7.19,7.65,8.53,Male
France,4.93,5.04,4.97,5.33,5.14,5.49,5.24,5.28,5.33,5.57,Male
Croatia,15.14,14.08,15.69,15.3,15.23,12.71,10.74,10.57,12.53,12.99,Male
Italy,6.62,6.64,5.66,6.15,5.86,5.7,5.36,5.73,5.57,5.41,Male
Cyprus,4.13,6.06,5.16,6.21,6.72,6.39,2.83,4.65,8.4,6.9,Male
Latvia,102.64,98.2,92.41,86.02,86.17,78.19,77.87,67.22,74.73,85.24,Male
Lithuania,122.87,108.08,108.39,109.82,105.07,89.57,84.3,80.41,90.37,88.67,Male
Luxembourg,3.78,10.82,8.55,6.54,5.47,7.18,9.12,5.5,6.06,5.15,Male
Hungary,54.16,52.51,53.97,53.47,51.27,53.2,51.88,49.77,48.08,50.38,Male
Malta,19.65,18.76,13.79,14.32,12.97,14.47,19.0,16.31,21.89,12.34,Male
Netherlands,4.4,3.67,4.11,3.45,3.63,3.25,3.52,3.2,3.09,3.11,Male
Austria,10.69,9.93,10.08,9.8,8.65,8.59,9.64,9.5,8.64,9.32,Male
Poland,22.6,21.43,20.87,20.17,19.59,20.71,20.66,19.18,21.04,28.36,Male
Portugal,2.87,4.68,8.68,9.37,8.56,8.19,7.47,8.75,7.23,8.06,Male
Romania,26.73,25.68,25.48,26.61,26.48,25.61,26.32,27.57,30.87,32.62,Male
Slovenia,11.03,7.5,4.91,3.18,1.78,2.09,1.36,0.42,1.27,2.32,Male
Slovakia,36.08,38.12,37.17,38.86,37.06,38.8,32.47,39.47,44.35,48.43,Male
Finland,23.8,23.46,22.64,22.12,22.53,21.48,19.87,17.45,19.18,17.69,Male
Sweden,9.36,10.07,10.13,11.59,9.93,9.31,8.75,7.66,8.91,8.18,Male
Iceland,6.95,4.23,9.0,6.52,7.71,6.04,3.77,6.44,5.85,5.07,Male
Liechtenstein,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,5.39,15.97,Male
Norway,9.41,8.31,7.95,7.79,8.36,7.14,7.76,7.49,8.13,6.57,Male
Switzerland,8.87,7.45,8.75,7.35,6.92,6.36,5.9,5.51,5.83,5.25,Male
United Kingdom,19.69,19.45,19.08,19.16,18.64,18.66,18.09,,,,Male
Serbia,12.73,11.87,12.97,12.78,11.96,11.26,12.89,12.07,11.85,12.14,Male
TÃ¼rkiye,11.76,14.16,13.77,13.9,14.15,14.84,12.92,12.28,15.1,13.89,Male
